# {"t_start": 1704792580.1884503, "env_id": "PctDiscrete-v0"} 
r,l,t
6.86,28,5456.493811
5.57,19,5461.89492
7.27,34,5471.550894
7.05,23,5478.643758
6.08,30,5487.473618
7.85,24,5494.612056
6.45,33,5504.617955
6.36,30,5513.959903
6.7,30,5522.542213
7.97,32,5532.257683
6.96,32,5541.350197
5.72,29,5549.989034
4.9,27,5557.837248
6.05,26,5565.162975
6.84,23,5571.537532
7.16,24,5578.093663
7.11,28,5586.10504
5.99,24,5593.164189
6.46,25,5600.75407
6.77,35,5610.924051
5.17,17,5615.699894
6.89,23,5622.547623
7.03,28,5631.075283
6.12,34,5640.830769
3.55,16,5645.612545
5.96,16,5650.129901
4.96,21,5656.022402
6.66,31,5665.067336
7.67,32,5673.759388
7.06,29,5682.30527
7.49,29,5690.39798
7.23,29,5698.659945
7.39,29,5707.071779
7.47,27,5714.517258
6.01,30,5722.902207
5.75,24,5729.832058
7.27,24,5736.829575
7.17,32,5745.909207
6.81,26,5753.664442
6.52,17,5758.832363
6.2,24,5765.927215
6.51,21,5771.771825
7.33,25,5778.974435
6.35,30,5787.234633
6.76,31,5795.778252
6.01,21,5801.865015
5.24,21,5808.319111
5.92,24,5815.06328
6.95,34,5824.546572
4.97,14,5828.49392
6.21,31,5837.054757
6.13,29,5845.828009
5.46,20,5851.600317
5.02,20,5857.251224
5.1,18,5862.477142
7.46,26,5869.515107
5.86,20,5875.133276
5.39,18,5880.327559
7.22,31,5889.403703
6.9,18,5894.374827
7.15,39,5905.505893
5.71,23,5912.077639
6.72,30,5920.882438
7.35,30,5929.282703
6.43,31,5938.239852
6.49,21,5944.243814
5.58,25,5951.37799
6.98,31,5960.498807
7.19,32,5969.888362
5.85,26,5977.540978
6.1,26,5985.081424
6.7,32,5994.333397
7.69,35,6004.79763
8.08,34,6014.553351
2.97,14,6018.569138
6.43,24,6024.984467
6.96,23,6031.534274
5.86,23,6038.115211
6.96,24,6044.620566
5.96,27,6052.311314
7.8,27,6060.132208
6.76,27,6067.856583
7.49,30,6076.036494
5.99,24,6083.032796
6.97,22,6089.235181
6.85,28,6097.164038
5.48,22,6103.380256
6.42,29,6111.763719
6.56,27,6119.83905
6.06,27,6128.022683
7.3,27,6135.586609
7.11,34,6145.476665
6.52,24,6152.561488
5.84,27,6160.105083
6.07,23,6166.806432
7.25,36,6177.05741
6.41,18,6182.037821
6.39,30,6190.670896
7.21,30,6199.281924
6.73,28,6207.012553
6.48,26,6214.452417
4.42,19,6220.107037
6.7,25,6227.068815
4.9,25,6234.385345
6.63,24,6240.897789
7.68,29,6249.246019
7.18,32,6258.218387
6.49,27,6266.066493
8.31,35,6276.002423
4.15,23,6282.358351
6.83,25,6289.507913
6.71,24,6296.509142
6.48,19,6302.102691
5.52,24,6309.309564
7.36,21,6315.029352
6.85,29,6323.124636
7.12,25,6330.318229
7.39,38,6340.884194
5.32,17,6345.780735
5.66,23,6352.456579
5.97,29,6360.492831
6.83,25,6367.621377
5.74,16,6372.323391
6.86,24,6379.152388
6.34,29,6387.734682
6.87,30,6396.54354
5.91,15,6400.706095
6.51,34,6410.737015
6.83,26,6417.844019
6.77,28,6425.524742
7.29,25,6432.675025
7.43,30,6441.875171
7.35,28,6449.706413
6.81,22,6455.563513
